No,Istilah,Definisi
224,cessie,"cara untuk menyerahkan piutang atas nama dan kebendaan tak berwujud lainnya; penyerahan piutang seperti ini harus dilakukan dengan membuat akta, baik akta autentik maupun akta di bawah tangan yang menegaskan pengalihan hak tersebut dari kreditur kepada pihak ketiga; pengalihan ini harus disetujui oleh debitur."
225,choice of law/pilihan hukum,"perbuatan hukum yang dilakukan seseorang berupa memilih sistem hukum asing sebagai hukum yang berlaku baginya yang berbeda dengan sistem hukumnya sendiri. perbuatan hukum ini umumnya terjadi dalam peristiwa hukum perselisihan, utamanya hukum antar golongan dan hukum perdata internasional. suatu klausul dalam kontrak hukum perdata internasional yang menyatakan bahwa para pihak sepakat untuk memilih sistem hukum negara tertentu sebagai hukum yang berlaku terhadap kontrak mereka itu."
226,civil code/kitab undang-undang hukum perdata,"kodifikasi atau himpunan asas dan kaidah hukum yang disusun secara sistematis yang mengatur masalah hukum di bidang hukum perdata, terdiri dari empat bagian yaitu tentang perorangan, kebendaan, perikatan, serta bukti dan daluwarsa."
227,codification/kodifikasi,"proses pengumpulan dan penyusunan peraturan perundang-undangan secara sistematis, biasanya berdasarkan materi atau subjek tertentu dari bidang hukum."
228,collateral,"aktiva yang dijanjikan kepada pemberi pinjaman sampai suatu pinjaman dibayar kembali. bila peminjam gagal menepati pembayarannya, pemberi pinjaman menurut hukum mempunyai hak untuk menyita jaminan dan menjualnya untuk melunasi hutang."
229,collection/inkaso,penagihan kepada tertagih berdasarkan suatu surat berharga pengakuan utang untuk kepentingan dan atas risiko pihak yang mempunyai tagihan.
230,commercial papers,"berbagai jenis surat dan kertas berharga misalnya, saham, obligasi, sertifikat bank, cek tanda deposito, dan sebagainya. istilah tersebut merupakan singkat yang sering digunakan oleh perusahaan industri."
231,commissioners/komisaris,organ Persero yang bertugas melakukan pengawasan dan memberikan nasihat kepada Direksi dalam menjalankan kegiatan pengurusan Persero [vide: UU No. 19/2003].
232,competitive bidding/prosedur tender yang kompetitif,prosedur tender dalam hal semua peserta diberi kesempatan dan kedudukan yang sama.
233,condition presedent/syarat hukum preseden,suatu peristiwa atau faktor yang dijadikan syarat hukum yang harus ada atau terjadi sebelum para pihak dalam suatu perjanjian melaksanakan hak dan kewajibannya.
234,confiscation/konfiskasi/penyitaan,"serangkaian tindakan penyidik untuk mengambil alih dan/atau menyimpan di bawah penguasaannya benda bergerak, berwujud atau tidak berwujud untuk kepentingan pembuktian dalam penyidikan, penuntutan atau peradilan (KUHAP)."
235,consensual contract/perjanjian konsensual/perjanjian karena kesepakatan,"perjanjian yang terjadi sejak terciptanya kesepakatan atau konsensus antara pihak-pihak yang terlibat konsensus ad idem, kesepakatan; kesepakatan atau kecocokan maksud di antara para pihak dalam pembuatan suatu kontrak, sehingga oleh karenanya menurut hukum kontrak itu dinyatakan telah terjadi."
236,contract/kontrak/perjanjian,"perjanjian yang dituangkan dalam bentuk tertulis, yang pelaksanaannya dijamin oleh hukum atau pelaksanaannya dapat dituntut di muka hakim apabila dilanggar."
237,contracting parties/pihak-pihak yang berkontrak,dalam hukum perjanjian internasional berarti negara-negara yang menjadi peserta suatu perjanjian atau konvensi internasional.
238,convertible bonds/obligasi yang dapat dikonversi,obligasi yang dapat dikonversi dengan saham preferen atau saham biasa dari perusahaan yang sama dengan syarat tertentu.
239,corporate veil/tabir perusahaan,"istilah kiasan untuk menggambarkan bahwa badan usaha yang berbentuk perseroan terlindungi oleh hukum karena statusnya sebagai badan hukum, sehingga tanggung jawab pemegang sahamnya hanya sebatas besarnya modal yang disetornya."
240,correspondence bank/bank koresponden,bank yang berdasarkan suatu perjanjian mempunyai hubungan dengan bank lain untuk saling memberikan jasa dan atau melakukan transaksi untuk dan atas nama bank yang berkepentingan.
241,cost and freight (C&F)/biaya dan biaya pengangkutan,suatu syarat yang sering ditemukan dalam perdagangan internasional yang mengharuskan penjual untuk membayar semua biaya termasuk biaya pengangkutan untuk mengirim atau mengapalkan barang dari tempat atau pelabuhan muat ke pelabuhan atau tempat tujuan.
242,cost recovery,pengembalian atas biaya-biaya yang telah dikeluarkan dalam rangka operasi perminyakan oleh kontraktor kontrak kerja sama (KKKS) dengan menggunakan hasil produksi minyak dan/atau gas bumi (migas) sesuai dengan ketentuan peraturan perundang-undangan.
243,costs,"insurance and freight/biaya, asuransi, dan pengangkutan, suatu syarat yang sering ditemukan dalam perdagangan internasional yang mengharuskan penjual untuk membayar semua biaya termasuk biaya pengangkutan dan asuransi untuk mengirim atau mengapalkan barang dari tempat atau pelabuhan muat ke pelabuhan atau tempat tujuan."
244,counterfeit/pemalsuan dengan maksud menyesatkan khalayak,"perbuatan melawan hukum berupa membuat dan atau menjual barang-barang bernilai ekonomis dengan cara misalnya memalsu, meniru atau menggunakan merek-merek terkenal, dengan maksud untuk mengambil keuntungan bagi dirinya sendiri dan menyesatkan konsumen."
245,credietverband/credietverband,pengikatan agunan berupa tanah yang umumnya belum bersertifikat.
246,cuci - pencucian uang/money laundering,"perbuatan menempatkan, mentransfer, membayarkan, membelanjakan, menghibahkan, menyumbangkan, menitipkan, membawa keluar negeri, menukarkan atau perbuatan lainnya atas harta kekayaan yang diketahui atau patut diduga merupakan hasil tindak pidana dengan maksud untuk menyembunyikan, atau menyamarkan asal usul harta kekayaan sehingga seolah-olah menjadi harta kekayaan yang sah [vide: UU No. 15/2002 jo. UU No. 25/2003]."
247,curang - kecurangan/defraud; fraud,"1. perbuatan yang disengaja yang menimbulkan kerugian pada pihak lain, misalnya seseorang yang membuat pernyataan palsu, menyembunyikan atau menghilangkan bukti yang penting; 2. ketidakjujuran yang disengaja sehingga menimbulkan kerugian negara."
248,daerah otonom,"selanjutnya disebut daerah, adalah kesatuan masyarakat hukum yang mempunyai batas-batas wilayah yang berwenang mengatur dan mengurus urusan pemerintahan dan kepentingan masyarakat setempat menurut prakarsa sendiri berdasarkan aspirasi masyarakat dalam sistem Negara Kesatuan Republik Indonesia."
249,daftar isian kegiatan daerah (DIKDA),dokumen yang berisi rencana-rencana pelaksanaan kegiatan anggaran rutin.
250,daftar isian pelaksanaan anggaran (DIPA) atau dokumen lain yang dipersamakan dengan DIPA,suatu dokumen pelaksanaan anggaran yang dibuat oleh Menteri/Pimpinan Lembaga atau satuan kerja serta disahkan oleh Direktur Jenderal Perbendaharaan atau Kepala Kantor Wilayah Direktorat Jenderal Perbendaharaan atas nama Menteri Keuangan dan berfungsi sebagai dokumen pelaksanaan pembiayaan kegiatan.
251,daftar isian proyek daerah (DIPDA),dokumen yang berisi rencana-rencana pelaksanaan kegiatan anggaran pembangunan.
252,dana alokasi khusus (DAK),dana yang bersumber dari pendapatan APBN yang dialokasikan kepada daerah tertentu dengan tujuan untuk membantu mendanai kegiatan khusus yang merupakan urusan daerah dan sesuai dengan prioritas nasional [vide: UU No. 33/2004].
253,dana alokasi umum (DAU),dana yang bersumber dari pendapatan APBN yang dialokasikan dengan tujuan pemerataan kemampuan keuangan antar daerah untuk mendanai kebutuhan daerah dalam rangka pelaksanaan desentralisasi [vide: UU No. 33/2004].
254,dana bagi hasil,APBN yang dialokasikan kepada Daerah berdasarkan angka persentase untuk mendanai kebutuhan Daerah dalam rangka pelaksanaan Desentralisasi.
255,dana cadangan,dana yang disishkan untuk menampung kebutuhan yang memerlukan dana relatif besar yang tidak dapat dipenuhi dalam satu tahun anggaran.
256,dana darurat,"dana yang berasal dari APBN yang dialokasikan kepada Daerah yang mengalami bencana nasional, peristiwa luar biasa, dan/atau krisis solvabilitas."
257,dana dekonsentrasi,"dana yang berasal dari APBN yang dilaksanakan oleh gubernur sebagai wakil pemerintah yang mencakup semua penerimaan dan pengeluaran dalam rangka pelaksanaan dekonsentrasi, tidak termasuk dana yang dialokasikan untuk instansi vertikal pusat di daerah."
258,dana eskro/escrow funds,dana yang diserahkan kepada pihak ketiga untuk tujuan tertentu sesuai dengan yang diperjanjikan.
259,dana kompensasi,dana yang pembayarannya dilakukan secara perhitungan antara instansi atau unit kerja.
260,dana mengendap/core deposits,dana nasabah tertentu pada bank yang tidak ditarik dalam jangka waktu yang relatif aman yang merupakan sumber dana tetap bagi bank dalam rangka pemberian pinjaman.
261,dana pembayaran utang/sinking fund,"umum: uang yang dikumpulkan dalam suatu rekening khusus untuk membayar utang sesuai dengan jadwal yang telah ditentukan; beberapa persyaratan dana pembayaran utang harus dipenuhi dengan penebusan sejumlah tertentu instrumen yang telah diterbitkan selama satu tahun tertentu; hipotek berjaminan surat berharga (mortgage backed securities): ketentuan dalam panggilan surat penjanjian (indenture calling) selama jadwal amortisasi dari hipotek yang dijamin dengan obligasi atau surat utang subjek untuk kegiatan yang dibayar di muka, misalnya obligasi amortisasi terkendali (controlled amortization bond) sin. dana pelunasan."
262,dana pensiun/pension fund,dana yang dihimpun oleh suatu perusahaan atau serikat pekerja atau badan usaha milik pemerintah atau organisasi lain yang bertujuan untuk membuat cadangan dana sebagai pembayaran pensiun bagi pegawainya yang telah memasuki masa pensiun.
263,dana perimbangan,dana yang bersumber dari pendapatan APBN yang dialokasikan kepada Daerah untuk membiayai kebutuhan Daerah dalam rangka pelaksanaan Desentralisasi [vide: UU No. 33/2004].
264,dana semalam/overnight money,dana yang dijual di pasar antarbank oleh bank yang memiliki dana menganggur kepada bank yang memerlukan dana sementara (dalam jangka pendek); pasar dana Bank Sentral Amerika yang lembaga keuangannya menjual dana lebihnya yang berasal dari rekening cadangan yang disimpan pada Bank Sentral Amerika merupakan sumber dana tersebar untuk dana semalam; dana tersebut wajib disetorkan kembali kepada bank penjual pada keesokan harinya saat awal jam kerja.
265,dana talangan,1. dana yang disediakan oleh Bank Indonesia yang digunakan untuk melakukan pembayaran terlebih dahulu kepada kreditur bank dan akan menjadi hutang bank tersebut kepada Bank Indonesia; 2. dana yang diberikan lebih dahulu sebelum surat keputusan otorisasi disetujui.
266,dana tugas pembantuan,dana yang berasal dari APBN yang dilaksanakan oleh daerah yang mencakup semua penerimaan dan pengeluaran dalam rangka pelaksanaan tugas pembantuan.
267,dapat dibatalkan demi hukum,"sesuatu yang dinyatakan tidak berlaku atau tidak sah oleh suatu penetapan/putusan hakim, misalnya suatu perjanjian yang tidak memenuhi syarat subyektif yang ditentukan undang-undang sebagai syarat sahnya perjanjian (BW)."
268,data transaksi BMN,"data berbentuk jurnal transaksi perolehan, perubahan, dan penghapusan BMN yang dikirimkan melalui media ADK setiap bulan oleh petugas Unit Akuntansi Kuasa Pengguna Barang kepada Unit Akuntansi Kuasa Pengguna Anggaran di tingkat satuan kerja."
269,database entitas pemeriksaan (DEP),kumpulan data terkait entitas yang menjadi objek pemeriksaan yang sebelumnya dikenal sebagai Dozir Induk Wilayah (DIW).
270,de facto/faktual,"sesuai dengan kenyataannya, sebagaimana kenyataannya, secara konkret."
271,de jure,dasar keberadaan atau eksistensinya menurut hukum; pengakuan secara hukum oleh masyarakat internasional.
272,debit/debit,"sisi sebelah kiri neraca yang, antara lain, berisi catatan mengenai kas, surat berharga yang dimiliki, dan aktiva tetap; urutan pencatatan sesuai dengan tingkat likuiditas aset."
273,debitur/debitor/obligor,"1. pihak yang mempunyai piutang karena perjanjian atau undang-undang; 2. pihak dalam perikatan yang mempunyai utang atau kewajiban hukum terhadap pihak lain, yaitu kreditur; 3. pihak yang menerima utang dari kreditur."
274,default/kegagalan/kelalaian,"kegagalan untuk melakukan atau memenuhi suatu kewajiban sebagaimana tercantum di dalam kontrak, sekuritas, akta atau transaksi lainnya."
275,defisit,selisih kurang antara pendapatan dan belanja selama satu periode pelaporan.
276,defisit anggaran daerah,selisih kurang antara pendapatan daerah dan belanja daerah.
277,dekonsentrasi,pelimpahan wewenang pemerintahan oleh Pemerintah kepada Gubernur sebagai wakil pemerintah dan/atau kepada instansi vertikal di wilayah tertentu.
278,delisting,"tindakan mengeluarkan suatu saham yang tercatat di bursa efek karena memenuhi kriteria yang ditentukan oleh manajemen bursa efek (forced delisting) atau atas permintaan emiten (voluntary delisting), sehingga saham tersebut tidak dapat diperdagangkan lagi di bursa efek tersebut."
279,demurrage,tambahan biaya berlabuh karena waktu untuk bongkar muat lebih lama.
280,denda,"sanksi, baik sanksi administratif maupun sanksi pidana yang berupa keharusan membayar sejumlah uang tertentu (karena melanggar perundang-undangan atau melakukan tindak pidana)."
281,deposito antarbank/interbank deposits,"deposito suatu bank pada bank lain di luar negeri, biasanya dengan bank koresponden; setiap bank memelihara akun antar bank pasiva (due to account) atas nama bank lain; disebut juga deposito timbal balik; pencatatan akun bank dalam negeri pada bank koresponden di luar negeri disebut rekening nostro dan pencatatan rekening bank koresponden luar negeri pada bank di dalam negeri disebut rekening vostro."
282,deposito berjangka/time deposit,simpanan yang penarikannya hanya dapat dilakukan pada waktu tertentu berdasarkan perjanjian nasabah penyimpan dengan bank.
283,deposito dengan pemberitahuan/deposit on call,simpanan yang hanya dapat ditarik dengan syarat pemberitahuan sebelumnya.
284,desentralisasi,pelimpahan wewenang pemerintahan oleh Pemerintah kepada daerah otonom untuk mengatur dan mengurus urusan pemerintahan dalam Sistem Negara Kesatuan Republik Indonesia.
285,dewan komisaris,1. organ perseroan yang bertugas melakukan pengawasan secara umum dan atau khusus serta memberikan nasihat kepada direksi dalam menjalankan perseroan; 2. badan yang ditunjuk oleh para pemegang saham untuk menentukan dan mengawasi pengurusan perusahaan; 3. organ Persero yang bertugas melakukan pengawasan dan memberikan nasihat kepada Direksi dalam menjalankan kegiatan pengurusan Persero.
286,dewan pengawas,organ Perum yang bertugas melakukan pengawasan dan memberikan nasihat kepada Direksi dalam menjalankan kegiatan pengurusan Perum [vide: UU No. 19/2003].
287,dewan perwakilan daerah,Dewan Perwakilan Daerah sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
288,dewan perwakilan rakyat,Dewan Perwakilan Rakyat sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
289,dewan perwakilan rakyat daerah,"Dewan Perwakilan Rakyat Daerah Provinsi, Kabupaten, dan Kota sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
290,direksi,"1. organ perseroan yang bertanggung jawab penuh atas pengurusan perseroan untuk kepentingan dan tujuan perseroan serta mewakili perseroan baik di dalam maupun di luar pengadilan sesuai dengan ketentuan Anggaran Dasar; 2. salah seorang anggota direksi; 3.(dewan) pengurus atau (dewan) pimpinan perusahaan, bank, yayasan, dsb; 4. organ BUMN yang bertanggung jawab atas pengurusan BUMN untuk kepentingan dan tujuan BUMN, serta mewakili BUMN baik di dalam maupun di luar pengadilan [vide: UU No. 19/2003]."
291,disclaimer,pernyataan menolak atau menyangkal.
292,disclaimer of opinion,penolakan pemeriksaan ulang; pernyataan akuntan publik menolak memberikan pendapat atas laporan keuangan yang telah diperiksa karena adanya ketidakpuasan atau hal-hal lain.
293,disclosure,"penyingkapan, pengungkapan, pengumuman, proses pengungkapan informasi perusahaan yang akan terbitkan surat berharga di pasar modal."
294,dividen/dividend,bagian dari laba bersih sesuai dengan Rapat Umum Pemegang Saham (RUPS) yang ditetapkan untuk dibagikan kepada para pemegang saham sebagai keuntungan atas kepemilikan saham.
295,dokumen,"data, catatan, dan/atau keterangan yang berkaitan dengan pengelolaan dan tanggung jawab keuangan negara, baik tertulis di atas kertas atau sarana lain, maupun terekam dalam bentuk/corak apapun."
296,dokumen anggaran satuan kerja (DASK),dokumen yang memuat pendapatan dan belanja setiap perangkat daerah yang digunakan sebagai dasar pelaksanaan oleh pengguna anggaran.
297,dokumen keuangan negara,"disebut juga dokumen, data, catatan, dan/atau keterangan yang berkaitan dengan pengelolaan dan tanggung jawab keuangan negara, baik tertulis di atas kertas atau sarana lain, maupun terekam dalam bentuk/corak apapun."
298,dokumen sumber,dokumen yang berhubungan dengan transaksi keuangan yang digunakan sebagai sumber atau bukti untuk menghasilkan data akuntansi.
299,draft/wesel,"suatu jenis surat berharga bersegi tiga, dalam hal mana seorang penarik memerintahkan kepada si tertarik untuk membayarkan sejumlah uang kepada orang yang memegang surat berharga tersebut, atau orang lain yang ditunjuknya, pada saat orang tersebut menunjukkan surat berharga tersebut atau pada tanggal tertentu yang disebutkan secara tegas dalam surat berharga tersebut."
300,due,jatuh tempo.
301,due proccess/proses hukum yang wajar,"proses pemeriksaan hukum terhadap suatu perkara hukum oleh aparat penegak hukum dan pengadilan yang wajar, adil tak berpihak."
302,dugaan,"sangkaan atau perkiraan akan terjadi sesuatu (biasanya kurang menyenangkan dan memberikan kecurigaan) berdasarkan temuan-temuan pemeriksaan; setiap dugaan harus diuji kembali dengan fakta dan data lanjutan di lapangan; dugaan korupsi, dugaan penyelewengan."
303,dumping/damping,"praktik dagang yang dilakukan eksportir dengan menjual komoditi di pasaran internasional dengan harga kurang dari nilai yang wajar atau lebih rendah daripada harga barang tersebut di negerinya sendiri atau daripada harga jual kepada negara lain; pada umumnya, praktik ini dinilai tidak adil karena dapat merusak pasaran dan merugikan produsen pesaing di negara pengimpor."
304,duty/bea/tarif,pajak yang dikenakan terhadap komoditi impor yang berasal dari suatu wilayah pabean di luar negeri ke dalam wilayah pabean nasional negara pengimpor.
305,efek,"surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas efek, dan setiap derivatif dari efek."
306,efektif,ketercapaian hasil sesuai dengan program yang telah ditentukan; berhasil guna.
307,efisien,mampu mempergunakan waktu dan biaya secara tepat untuk memperoleh hasil yang diharapkan.
308,eigendom,hak yang dimiliki oleh seseorang dimana dengan hak tersebut orang itu dapat berbuat apa saja dengan benda yang dimilikinya (hak yang paling luas).
309,ekonomis (kehematan),"mampu meminimumkan pengeluaran uang, pemakaian barang, dan penggunaan waktu untuk sebuah aktifitas dengan memperhatikan kualitas yang memadai."
310,eksekusi,pelaksanaan terhadap suatu putusan yang telah berkekuatan hukum tetap.
311,eksekusi langsung/parate execu tie,pelaksanaan eksekusi menurut perjanjian yang dilakukan tanpa melalui putusan pengadilan.
312,eksekutor,"pelaksana putusan pengadilan, dalam perkara perdata menjadi kewenangan ketua Pengadilan Negeri dan dalam perkara pidana menjadi kewenangan Jaksa [HIR dan UU No. 16/ 2004]."
313,eksepsi dilatoir,"eksepsi yang menyatakan, bahwa gugatan penggugat belum dapat dikabulkan, misalnya oleh karena penggugat telah memberikan penundaan pembayaran."
314,eksepsi materiil,eksepsi yang didasarkan atas tidak dipenuhi ketentuan hukum perdata materil dalam suatu gugatan.
315,eksepsi mengenai kekuasaan relatif,"eksepsi yang menyatakan, bahwa Pengadilan Negeri tertentu adalah tidak berkuasa mengadili perkara tertentu."
316,eksepsi peremptoir,"eksepsi yang menghalangi dikabulkannya gugatan, misalnya oleh karena gugatan telah diajukan lampau waktu, dengan lain perkataan telah kadaluarsa, atau bahwa utang yang menjadi dasar gugatan telah dihapuskan."
317,eksepsi prosesuil/prosesil,eksepsi yang didasarkan atas tidak dipenuhinya ketentuan hukum perdata formil dalam suatu gugatan.
318,eksepsi/exceptie,keberatan atau tangkisan atas suatu gugatan atau dakwaan oleh tergugat atau terdakwa dengan pemintaan gugatan/dakwaan tersebut tidak dapat diterima atau dinyatakan batal demi hukum.
319,ekuitas dana,kekayaan bersih pemerintah yang merupakan selisih antara aset dengan kewajiban pemerintah.
320,ekuitas/equity,"1. dalam arti luas sumber permodalan dari suatu perusahaan, baik yang berasal dari pemilik maupun kreditor. Sumber daya ini digunakan untuk membeli aktiva-aktiva, dengan demikian baik pemilik maupun kreditor berhak atas kekayaan perusahaan; 2. dalam arti sempit modal sendiri, yaitu selisih antara total aktiva dikurangi total pasiva. modal sendiri perusahaan terdiri dari modal saham, laba yang ditahan dan lain-lain."
321,embargo/embargo,"larangan yang dikeluarkan pemerintah untuk melakukan impor atau ekspor barang tertentu ke negara lain dalam rangka kebijakan yang berkaitan dengan politik, ekonomi, ataupun kebijakan lain."
322,emisi/issue,penerbitan surat berharga untuk dijual oleh suatu perusahaan kepada umum.
323,emiten/emitten,"perusahaan yang memperoleh dana melalui pasar modal, baik dengan menerbitkan saham atau obligasi dan menjualnya secara umum kepada masyarakat; perusahaan yang mencatatkan sahamnya dan diperdagangkan di bursa saham juga disebut emitten."
324,endos - terendos/endorsee,pihak yang menerima hak karena endosemen.
325,endosemen bank/bank endorsement,"pembubuhan tanda pengesahan oleh bank, biasanya di bagian belakang surat berharga, yang mengikat bank tersebut untuk bertanggung jawab atas pembayaran surat berharga apabila penerbit surat berharga tidak dapat memenuhi kewajibannya pada saat jatuh tempo; sin. pengesahan bank."
326,endosemen bersyarat/qualified endorsement,endosemen yang mentransfer kepemilikan atas instrumen yang dinegosiasikan kepada pihak yang ditunjuk di dalam endosemen.
327,endosemen pinjam nama/accommodation endorsement,"endosemen yang dilakukan endosan dengan sekadar mengizinkan penggunaan namanya untuk membantu pihak lain memperoleh dana melalui penjualan surat wesel; walaupun tidak berkepentingan atas surat wesel tersebut, endosan tetap bertanggung jawab menurut hukum."
328,endosemen tanpa hak regres/endorsement without recourse.- absolute endorsement,endosemen dengan catatan tanpa regres; endosemen semacam ini tidak mengikat endosan atas pembayaran surat order.
329,endosemen tanpa nama/endorsement in blank endorsement,endosemen tanpa menyebut pihak tertentu kepada siapa hak tersebut dialihkan.
330,endosemen/endorsement,"pengalihan hak kepada orang lain atas surat berharga yang dapat dialihkan (negotiable instrument), misalnya cek, wesel dengan cara membubuhkan nama dan tanda tangan di halaman belakang surat berharga tersebut."
331,entitas,"kesatuan unit badan atau lembaga (satuan yang berwujud) yang menerima dan mengelola anggaran dari Pemerintah dan mempertanggungjawabkan anggaran tersebut. misalnya, Kesekretariatan Jenderal, Kementerian Negara/Lembaga, LPND, BUMN/BUMD, Komisi Negara, Bank Indonesia, Pemerintah Daerah (Provinsi/Kabupaten/Kota)."
332,entitas akuntansi,unit pemerintah pengguna anggaran/pengguna barang dan oleh karenanya wajib menyelanggarakan akuntansi dan menyusun laporan keuangan untuk digabungkan pada entitas pelaporan.
333,entitas pelaporan,unit pemerintahan yang terdiri dari satu atau lebih entitas akuntansi yang menurut ketentuan peraturan perundang-undangan wajib menyampaikan laporan pertanggungjawaban berupa laporan keuangan.
334,equity/ekuiti,"istilah ini mempunyai arti bermacam-macam, dalam hukum perusahaan berarti modal saham yang diterbitkan perusahaan bersangkutan; dalam hukum secara umum, berarti ketakberpihakan, adil, tak berat sebelah; hukum alam; dalam tradisi hukum Common Law, berarti ajaran dan prinsip hukum yang berkembang sejajar dengan tradisi hukum kebiasaan dan perundang-undangan."
335,eror in objecto,kekeliruan mengenai objek/barang yang menjadi tujuan dari perbuatan yang terlarang.
336,eror in persona,kekeliruan mengenai orang yang menjadi tujuan dari perbuatan yang dilarang.
337,escape clause/klausul pelepasan,suatu klausul dalam perjanjian atau peraturan hukum yang mengijinkan para pihak untuk melepaskan diri atau menghindari kewajiban dari ketentuan yang diatur di dalamnya di bawah persyaratan atau kondisi tertentu.
338,evaluasi pemeriksaan laporan keuangan,proses analisis berdasarkan standar pemeriksaan untuk menilai pelaksanaan pemeriksaan laporan keuangan yang dilakukan oleh akuntan publik.
339,ex nunc,berlaku sejak sekarang; berlaku pada saat itu juga.
340,ex officio,karena jabatan; tindakan yang dilakukan sehubungan dengan jabatan.
341,exculpatory clause/klausul ekskulpatori,suatu klausul dalam perjanjian yang menegaskan bahwa salah satu pihak dibebaskan dari segala kesalahan atau tuntutan apabila ia menjalankan kewajibannya dengan itikad baik.
342,export subsidy/subsidi ekspor,bantuan keuangan berupa antara lain pembayaran uang atau manfaat ekonomis lainnya yang diberikan pemerintah kepada produsen komoditi ekspor atau eksportir.
343,factoring/anjak piutang/alih piutang,orang atau perusahaan yang kegiatannya membeli piutang pihak lain dengan menanggung risiko kemacetan.
344,faktur pajak,(1) faktur pajak; (2) surat untuk melakukan tagihan pajak dan/atau sanksi berupa bunga dan denda administrasi; surat tagihan pajak.
345,faktur/invoice,"pernyataan tertulis dari penjual kepada pembeli mengenai barang yang dijual, jumlah, kualitas, dan harga yang dapat dijadikan pegangan oleh pembeli untuk meneliti barang yang dibelinya."
346,fasiliitas kredit nirtenggat/open-end credit,"fasilitas yang diberikan kepada nasabah untuk dapat menambah jumlah kredit sampai dengan batas/pagu kredit baru yang telah dihentikan untuk sementara waktu atau dapat melunasi kredit yang telah dinikmatinya setiap saat tanpa dikenakan denda/penalti, atau dapat mengangsur pembayaran kreditnya sampai beberapa kali; contoh kredit jenis ini yang digunakan secara luas adalah kartu kredit dan kredit cerukan."
347,fasilitas diskonto/discount window,kredit yang diberikan oleh bank sentral kepada suatu bank dalam rangka mengatasi kesulitan likuiditas yang disebabkan oleh ketidaksesuaian (mismatch) pengelolaan dana yang bersifat sementara.
348,fasilitas kredit bank/bank credit,sejumlah uang yang diciptakan oleh bank dalam bentuk kredit dan cerukan melalui sarana kredit dari diskonto yang diberikan dengan atau tanpa kolateral; jumlah yang dicairkan diawasi oleh bank sentral.
349,fasilitas penarikan kredit/line of credit,janji sebuah bank untuk meminjamkan dana kepada seorang peminjam sampai jumlah tertentu dalam jangka waktu tertentu pada masa datang serta dengan persyaratan tertentu.
350,fidusia/fiduciare eigendemsoverdracht/FEO,"1. pengalihan hak kepemilikan suatu benda atas dasar kepercayaan dengan ketentuan bahwa benda yang hak kepemilikannya dialihkan tersebut tetap dalam penguasaan pemilik benda [UU No. 42/1999]; 2. pengikatan barang bergerak sebagai jaminan kredit, barang jaminan dikuasai oleh debitur, tetapi kepemilikannya diserahkan atas dasar kepercayaan kepada kreditur."
351,fiktif,"bersifat fiksi, tidak sesuai dengan kenyataan, tidak nyata, hanya terdapat di khayalan; sesuatu yang diada-adakan atau dikarang-karang atau dibuat-buat, misalnya pembayaran fiktif, kegiatan fiktif."
352,firma/venootchap,persekutuan dagang yang didirikan untuk menjalankan suatu perusahaan dengan memakai satu nama bersama; dalam persekutuan dagang ini tiap peserta secara sendiri atau bersama-sama bertanggung jawab atas segala perikatan yang dibuat atas nama persekutuan dagang tersebut.
353,fiskal/fiscal,"hal mengenai keuangan, terutama yang berkenaan dengan urusan pajak atau pendapatan negara."
354,fit and proper,"evaluasi terhadap integritas pemegang saham pengendali serta evaluasi terhadap integritas, kompetensi, dan independensi pengurus dalam mengendalikan kegiatan operasional bank."
355,force majeure,"keadaan yang terjadi di luar kemampuan manusia sehingga kerugian tidak dapat dihindari, seperti banjir dan gempa bumi."
356,force majeure/keadaan kahar/keadaan memaksa,situasi atau peristiwa yang terjadi di luar batas kemampuan dan dugaan manusia.
357,forensik,"1. berkenaan dengan pengadilan atau perdebatan publik; 2. bersifat argumentasi, retorik; 3. berkenaan dengan penerapan pengetahuan ilmiah pada masalah hukum."
358,franchise/waralaba,"perjanjian untuk mengelola suatu bisnis antara dua pihak yang intinya berupa pemberian lisensi hak milik intelektual seperti hak paten, hak cipta, hak merek, rahasia dagang, yang disertai pula dengan sistem dan metode pengelolaan usahanya baik di bidang barang maupun jasa."
359,franco,syarat-syarat penyerahan barang dalam penentuan harga yang menyatakan semua ongkos sampai di tempat yang disebut ditanggung penjual.
360,fraud,"penipuan, kekurangan, penggelapan."
361,free on board (FOB),istilah pengangkutan yang berarti bahwa dalam harga faktur sudah termasuk penyerahan sampai suatu titik tertentu atas beban penjual.
362,free zone/daerah bebas bea,"sebagian dari wilayah negara biasanya bagian dari pelabuhan, wilayah pergudangan atau daerah tertentu yang ditetapkan pemerintah yang pada umumnya dianggap terletak di luar wilayah negara itu untuk tujuan pabean; barang impor boleh dimasukkan ke wilayah tersebut tanpa membayar bea cukai sambil menunggu pengolahan, pengapalan transit, atau untuk di re-ekspor."
